date,BTCUSDT,ETHUSDT,BNBUSDT
2024-01-01,44179.55000000,2352.04000000,313.50000000
2024-01-02,44946.91000000,2355.34000000,312.20000000
2024-01-03,42845.23000000,2209.72000000,315.80000000
2024-01-04,44151.10000000,2267.11000000,323.70000000
2024-01-05,44145.11000000,2268.78000000,317.50000000
2024-01-06,43968.32000000,2240.78000000,307.50000000
2024-01-07,43929.02000000,2221.42000000,302.40000000
2024-01-08,46951.04000000,2330.44000000,303.70000000
2024-01-09,46110.00000000,2344.29000000,301.10000000
2024-01-10,46653.99000000,2584.38000000,305.80000000
2024-01-11,46339.16000000,2618.01000000,308.20000000
2024-01-12,42782.73000000,2522.54000000,296.60000000
2024-01-13,42847.99000000,2578.19000000,302.20000000
2024-01-14,41732.35000000,2472.87000000,299.50000000
2024-01-15,42511.10000000,2511.78000000,317.50000000
2024-01-16,43137.95000000,2587.40000000,315.20000000
2024-01-17,42776.10000000,2530.19000000,309.40000000
2024-01-18,41327.50000000,2470.81000000,313.00000000
2024-01-19,41659.03000000,2492.00000000,314.70000000
2024-01-20,41696.04000000,2472.01000000,317.20000000
2024-01-21,41580.33000000,2457.05000000,318.60000000
2024-01-22,39568.02000000,2314.20000000,305.90000000
2024-01-23,39897.60000000,2242.60000000,298.80000000
2024-01-24,40084.88000000,2235.02000000,293.10000000
2024-01-25,39961.09000000,2218.64000000,292.10000000
2024-01-26,41823.51000000,2267.68000000,302.20000000
2024-01-27,42120.63000000,2267.94000000,305.60000000
2024-01-28,42031.06000000,2256.90000000,305.30000000
2024-01-29,43302.70000000,2317.60000000,310.70000000
2024-01-30,42941.10000000,2343.01000000,307.60000000
2024-01-31,42580.00000000,2283.14000000,300.50000000
2024-02-01,43082.94000000,2304.28000000,300.20000000
2024-02-02,43200.00000000,2309.06000000,301.40000000
2024-02-03,43011.09000000,2296.49000000,299.70000000
2024-02-04,42582.88000000,2289.79000000,304.70000000
2024-02-05,42708.70000000,2301.83000000,301.20000000
2024-02-06,43098.95000000,2372.64000000,302.70000000
2024-02-07,44349.60000000,2425.10000000,307.30000000
2024-02-08,45288.65000000,2419.55000000,319.20000000
2024-02-09,47132.77000000,2486.56000000,324.00000000
2024-02-10,47751.09000000,2500.24000000,323.00000000
2024-02-11,48299.99000000,2507.21000000,320.70000000
2024-02-12,49917.27000000,2659.99000000,327.80000000
2024-02-13,49699.59000000,2639.99000000,324.70000000
2024-02-14,51795.17000000,2774.81000000,333.90000000
2024-02-15,51880.00000000,2822.59000000,354.20000000
2024-02-16,52124.11000000,2801.80000000,360.40000000
2024-02-17,51642.64000000,2785.93000000,352.90000000
2024-02-18,52137.67000000,2881.20000000,349.80000000
2024-02-19,51774.73000000,2944.80000000,351.60000000
2024-02-20,52258.82000000,3014.81000000,354.60000000
2024-02-21,51849.39000000,2967.90000000,379.20000000
2024-02-22,51288.42000000,2971.40000000,382.60000000
2024-02-23,50744.15000000,2922.24000000,375.50000000
2024-02-24,51568.22000000,2992.62000000,381.70000000
2024-02-25,51728.85000000,3112.59000000,388.50000000
2024-02-26,54476.47000000,3175.94000000,401.60000000
2024-02-27,57037.34000000,3242.36000000,394.60000000
2024-02-28,62432.10000000,3383.10000000,414.60000000
2024-02-29,61130.98000000,3340.09000000,399.40000000
2024-03-01,62387.90000000,3433.43000000,407.40000000
2024-03-02,61987.28000000,3421.40000000,410.90000000
2024-03-03,63113.97000000,3487.81000000,414.50000000
2024-03-04,68245.71000000,3627.76000000,418.40000000
2024-03-05,63724.01000000,3553.65000000,394.10000000
2024-03-06,66074.04000000,3818.59000000,429.40000000
2024-03-07,66823.17000000,3868.76000000,474.60000000
2024-03-08,68124.19000000,3883.36000000,485.80000000
2024-03-09,68313.27000000,3905.21000000,488.30000000
2024-03-10,68955.88000000,3878.47000000,528.90000000
2024-03-11,72078.10000000,4064.80000000,523.00000000
2024-03-12,71452.01000000,3979.96000000,537.50000000
2024-03-13,73072.41000000,4004.79000000,630.50000000
2024-03-14,71388.94000000,3881.70000000,603.20000000
2024-03-15,69499.85000000,3742.19000000,632.70000000
2024-03-16,65300.63000000,3523.09000000,576.40000000
2024-03-17,68393.48000000,3644.71000000,571.70000000
2024-03-18,67609.99000000,3520.46000000,555.40000000
2024-03-19,61937.40000000,3158.64000000,507.70000000
2024-03-20,67840.51000000,3516.53000000,556.80000000
2024-03-21,65501.27000000,3492.85000000,553.80000000
2024-03-22,63796.64000000,3336.35000000,553.80000000
2024-03-23,63990.01000000,3329.53000000,551.90000000
2024-03-24,67209.99000000,3454.98000000,567.70000000
2024-03-25,69880.01000000,3590.42000000,587.00000000
2024-03-26,69988.00000000,3587.33000000,580.40000000
2024-03-27,69469.99000000,3501.19000000,574.30000000
2024-03-28,70780.60000000,3560.49000000,583.40000000
2024-03-29,69850.54000000,3509.74000000,612.50000000
2024-03-30,69582.18000000,3505.64000000,600.70000000
2024-03-31,71280.01000000,3645.29000000,606.70000000
2024-04-01,69649.80000000,3503.80000000,575.80000000
2024-04-02,65463.99000000,3278.96000000,551.40000000
2024-04-03,65963.28000000,3310.83000000,561.50000000
2024-04-04,68487.79000000,3327.40000000,585.50000000
2024-04-05,67820.62000000,3317.85000000,577.80000000
2024-04-06,68896.00000000,3351.59000000,585.40000000
2024-04-07,69360.39000000,3454.20000000,583.90000000
2024-04-08,71620.00000000,3694.61000000,586.40000000
2024-04-09,69146.00000000,3506.39000000,580.50000000
2024-04-10,70631.08000000,3545.64000000,609.70000000
2024-04-11,70006.23000000,3502.52000000,604.60000000
2024-04-12,67116.52000000,3237.43000000,595.60000000
2024-04-13,63924.51000000,3007.01000000,553.10000000
2024-04-14,65661.84000000,3155.11000000,566.40000000
2024-04-15,63419.99000000,3101.99000000,552.70000000
2024-04-16,63793.39000000,3084.22000000,537.60000000
2024-04-17,61277.37000000,2985.41000000,534.10000000
2024-04-18,63470.08000000,3064.40000000,552.10000000
2024-04-19,63818.01000000,3056.46000000,554.00000000
2024-04-20,64940.59000000,3155.79000000,570.90000000
2024-04-21,64941.15000000,3147.67000000,579.60000000
2024-04-22,66819.32000000,3200.20000000,604.50000000
2024-04-23,66414.00000000,3219.46000000,606.20000000
2024-04-24,64289.59000000,3140.80000000,608.80000000
2024-04-25,64498.34000000,3155.80000000,613.20000000
2024-04-26,63770.01000000,3131.30000000,598.00000000
2024-04-27,63461.98000000,3255.56000000,596.20000000
2024-04-28,63118.62000000,3263.45000000,600.20000000
2024-04-29,63866.00000000,3216.73000000,592.80000000
2024-04-30,60672.00000000,3014.05000000,578.40000000
2024-05-01,58364.97000000,2972.46000000,561.80000000
